folder,artist,album,release_date,score,num_ratings,genre1,genre2,genre3,sec_genre1,sec_genre2,sec_genre3,sec_genre4,desc1,desc2,desc3,desc4,desc5,desc6,desc7,desc8,desc9,desc10,desc11,desc12,desc13,desc14,desc15,desc16,desc17,desc18,desc19,desc20,desc21,desc22,desc23,desc24,desc25,desc26,desc27,desc28,desc29,desc30,desc31,desc32,desc33,desc34,desc35,desc36
Ambient,Global Communication,76:14,1994-06-01,3.75,3623,Ambient,Ambient Techno,,Downtempo,Space Ambient,Progressive Electronic,,instrumental,atmospheric,soothing,futuristic,space,hypnotic,repetitive,mellow,cold,ethereal,dark,mysterious,rhythmic,lush,,,,,,,,,,,,,,,,,,,,,,
Ambient,Brian Eno,Ambient 1: Music for Airports,1990-08-31,3.75,10987,Ambient,,,Minimalism,Choral,,,atmospheric,soothing,meditative,peaceful,mellow,ethereal,calm,sparse,minimalistic,instrumental,repetitive,hypnotic,soft,sombre,choral,,,,,,,,,,,,,,,,,,,,,
Ambient,Harold Budd,Ambient 2: The Plateaux of Mirror,1992-04-21,3.73,4006,Ambient,,,Minimalism,,,,meditative,atmospheric,peaceful,ethereal,instrumental,soothing,natural,sparse,soft,calm,minimalistic,mellow,hypnotic,melancholic,cold,winter,,,,,,,,,,,,,,,,,,,,
Ambient,The Caretaker,An Empty Bliss Beyond This World,2011-06-06,3.67,5530,Ambient,Turntable Music,,British Dance Band,Dixieland,Plunderphonics,,melancholic,lonely,atmospheric,instrumental,mellow,sparse,sampling,mysterious,repetitive,ominous,bittersweet,dark,lo-fi,sombre,sentimental,nocturnal,ethereal,concept album,depressive,peaceful,tone poem,lethargic,melodic,,,,,,,,,,,,,
Ambient,Stars of the Lid,And Their Refinement of the Decline,2007-04-02,3.87,4801,Ambient,Drone,,Minimalism,,,,peaceful,atmospheric,mellow,melancholic,instrumental,warm,meditative,calm,minimalistic,soothing,sombre,lush,soft,ethereal,,,,,,,,,,,,,,,,,,,,,,
Ambient,Eno,Another Green World,1977-10-18,4.03,14274,Art Rock,,,Electronic,Ambient,Art Pop,,peaceful,mysterious,meditative,calm,atmospheric,surreal,sombre,futuristic,male vocals,progressive,optimistic,psychedelic,melancholic,nature,eclectic,hypnotic,pastoral,autumn,ethereal,minimalistic,mellow,lush,,,,,,,,,,,,,,
Ambient,The KLF,Chill Out,1990-02-05,3.7,2854,Ambient,,,Field Recordings,Plunderphonics,Ambient House,Spoken Word,pastoral,sampling,atmospheric,soothing,warm,meditative,concept album,peaceful,lush,spring,hypnotic,mysterious,psychedelic,nocturnal,ethereal,mellow,surreal,natural,eclectic,suite,,,,,,,,,,,,,,,,
Ambient,Grouper,Dragging a Dead Deer Up a Hill,2008-06-10,3.71,5988,Psychedelic Folk,Ambient,,Dream Pop,Drone,Lo-Fi Indie,Ethereal Wave,ethereal,melancholic,lonely,lo-fi,atmospheric,acoustic,introspective,soothing,forest,female vocals,calm,hypnotic,lethargic,meditative,mellow,spiritual,soft,winter,mysterious,nature,nocturnal,aquatic,psychedelic,natural,depressive,,,,,,,,,,,
Ambient,Helios,Eingya,2006-06-15,3.32,1565,Ambient,,,Post-Rock,,,,mellow,ethereal,peaceful,instrumental,warm,calm,atmospheric,soft,sentimental,soothing,lush,,,,,,,,,,,,,,,,,,,,,,,,,
Ambient,Tim Hecker,Harmony in Ultraviolet,2006-10-16,3.86,6017,Ambient,,,Noise,Drone,Glitch,,melancholic,atmospheric,instrumental,noisy,dense,sombre,meditative,hypnotic,dark,ominous,lush,surreal,cold,suite,soothing,,,,,,,,,,,,,,,,,,,,,
